Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
config | reward=dense | steps=1500 | group=8 | bsz=2 | lr=3e-06 | max_new_tokens=128 | out=model_dense
step  103 | loss -0.0304 | reward 0.047 | solved   0.0%
step  104 | loss -0.0150 | reward 0.186 | solved   0.0%
step  105 | loss +0.0059 | reward 0.050 | solved   0.0%
step  106 | loss -0.0047 | reward 0.070 | solved   0.0%
step  107 | loss -0.0071 | reward 0.071 | solved   0.0%
step  108 | loss +0.0074 | reward 0.047 | solved   0.0%
step  109 | loss +0.0292 | reward 0.079 | solved   0.0%
step  110 | loss -0.0027 | reward 0.072 | solved   0.0%
step  111 | loss -0.0427 | reward 0.100 | solved   0.0%
step  112 | loss +0.0377 | reward 0.155 | solved   0.0%
step  113 | loss +0.0307 | reward 0.044 | solved   0.0%
step  114 | loss +0.0309 | reward 0.072 | solved   0.0%
step  115 | loss +0.0413 | reward 0.069 | solved   0.0%
step  116 | loss +0.0002 | reward 0.079 | solved   0.0%
step  117 | loss -0.0095 | reward 0.092 | solved   0.0%
step  118 | loss +0.0022 | reward 0.050 | solved   0.0%
step  119 | loss +0.0105 | reward 0.056 | solved   0.0%
step  120 | loss +0.0336 | reward 0.108 | solved   0.0%
step  121 | loss +0.0266 | reward 0.041 | solved   0.0%
step  122 | loss +0.0244 | reward 0.085 | solved   0.0%
step  123 | loss +0.0338 | reward 0.072 | solved   0.0%
step  124 | loss +0.0232 | reward 0.101 | solved   0.0%
step  125 | loss +0.0210 | reward 0.151 | solved   6.2%
step  126 | loss +0.0452 | reward 0.059 | solved   0.0%
step  127 | loss +0.0456 | reward 0.064 | solved   0.0%
step  128 | loss +0.0154 | reward 0.099 | solved   0.0%
step  129 | loss +0.0304 | reward 0.259 | solved   6.2%
step  130 | loss +0.0644 | reward 0.044 | solved   0.0%
step  131 | loss +0.0044 | reward 0.050 | solved   0.0%
step  132 | loss +0.0033 | reward 0.050 | solved   0.0%
step  133 | loss +0.0224 | reward 0.082 | solved   0.0%
step  134 | loss +0.0229 | reward 0.127 | solved   0.0%
step  135 | loss +0.0024 | reward 0.050 | solved   0.0%
step  136 | loss +0.0828 | reward 0.133 | solved   0.0%
step  137 | loss +0.0047 | reward 0.074 | solved   0.0%
step  138 | loss +0.0703 | reward 0.115 | solved   0.0%
step  139 | loss +0.0251 | reward 0.079 | solved   0.0%
step  140 | loss +0.1318 | reward 0.051 | solved   0.0%
step  141 | loss -0.0114 | reward 0.114 | solved   0.0%
step  142 | loss +0.0138 | reward 0.082 | solved   0.0%
step  143 | loss +0.0029 | reward 0.073 | solved   0.0%
step  144 | loss +0.0354 | reward 0.073 | solved   0.0%
step  145 | loss +0.0654 | reward 0.089 | solved   0.0%
step  146 | loss -0.0115 | reward 0.059 | solved   0.0%
step  147 | loss +0.0235 | reward 0.076 | solved   0.0%
step  148 | loss +0.0393 | reward 0.108 | solved   0.0%
step  149 | loss -0.0012 | reward 0.053 | solved   0.0%
step  150 | loss +0.0185 | reward 0.047 | solved   0.0%
step  151 | loss +0.0295 | reward 0.100 | solved   0.0%
step  152 | loss +0.0510 | reward 0.064 | solved   0.0%
step  153 | loss +0.0165 | reward 0.186 | solved   0.0%
step  154 | loss +0.0240 | reward 0.113 | solved   0.0%
step  155 | loss +0.0120 | reward 0.060 | solved   0.0%
step  156 | loss +0.0411 | reward 0.170 | solved   0.0%
step  157 | loss +0.0290 | reward 0.070 | solved   0.0%
