Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  105 | loss +0.0129 | reward 0.050 | solved   0.0%
step  106 | loss +0.0024 | reward 0.056 | solved   0.0%
step  107 | loss +0.0131 | reward 0.081 | solved   0.0%
step  108 | loss +0.0702 | reward 0.053 | solved   0.0%
step  109 | loss +0.0121 | reward 0.078 | solved   0.0%
step  110 | loss +0.0328 | reward 0.066 | solved   0.0%
step  111 | loss +0.0005 | reward 0.066 | solved   0.0%
step  112 | loss +0.0266 | reward 0.069 | solved   0.0%
step  113 | loss +0.0458 | reward 0.053 | solved   0.0%
step  114 | loss +0.1151 | reward 0.066 | solved   0.0%
step  115 | loss +0.0756 | reward 0.059 | solved   0.0%
step  116 | loss -0.0123 | reward 0.081 | solved   0.0%
step  117 | loss +0.0044 | reward 0.131 | solved   6.2%
step  118 | loss -0.0192 | reward 0.050 | solved   0.0%
step  119 | loss -0.0043 | reward 0.066 | solved   0.0%
step  120 | loss +0.0334 | reward 0.062 | solved   0.0%
step  121 | loss +0.0032 | reward 0.050 | solved   0.0%
step  122 | loss -0.0124 | reward 0.056 | solved   0.0%
step  123 | loss +0.0044 | reward 0.075 | solved   0.0%
step  124 | loss +0.0745 | reward 0.066 | solved   0.0%
step  125 | loss +0.1009 | reward 0.069 | solved   0.0%
step  126 | loss +0.0218 | reward 0.056 | solved   0.0%
step  127 | loss +0.0920 | reward 0.062 | solved   0.0%
step  128 | loss +0.0407 | reward 0.078 | solved   0.0%
step  129 | loss +0.0540 | reward 0.078 | solved   0.0%
step  130 | loss +0.0366 | reward 0.056 | solved   0.0%
step  131 | loss +0.0762 | reward 0.116 | solved   6.2%
step  132 | loss +0.0022 | reward 0.047 | solved   0.0%
step  133 | loss +0.0895 | reward 0.069 | solved   0.0%
step  134 | loss +0.0534 | reward 0.053 | solved   0.0%
step  135 | loss -0.0220 | reward 0.050 | solved   0.0%
step  136 | loss +0.0386 | reward 0.069 | solved   0.0%
step  137 | loss +0.0493 | reward 0.062 | solved   0.0%
step  138 | loss +0.0302 | reward 0.072 | solved   0.0%
step  139 | loss +0.0662 | reward 0.081 | solved   0.0%
step  140 | loss +0.0978 | reward 0.062 | solved   0.0%
step  141 | loss +0.0373 | reward 0.053 | solved   0.0%
step  142 | loss +0.0170 | reward 0.072 | solved   0.0%
step  143 | loss +0.0076 | reward 0.072 | solved   0.0%
step  144 | loss +0.0790 | reward 0.062 | solved   0.0%
step  145 | loss +0.1134 | reward 0.069 | solved   0.0%
step  146 | loss -0.0327 | reward 0.069 | solved   0.0%
step  147 | loss +0.0051 | reward 0.066 | solved   0.0%
step  148 | loss -0.0089 | reward 0.059 | solved   0.0%
step  149 | loss -0.0187 | reward 0.062 | solved   0.0%
step  150 | loss +0.1517 | reward 0.078 | solved   0.0%
step  151 | loss +0.0504 | reward 0.075 | solved   0.0%
step  152 | loss +0.0638 | reward 0.072 | solved   0.0%
step  153 | loss -0.0314 | reward 0.062 | solved   0.0%
step  154 | loss +0.0807 | reward 0.069 | solved   0.0%
step  155 | loss +0.0691 | reward 0.072 | solved   0.0%
step  156 | loss -0.0060 | reward 0.075 | solved   0.0%
step  157 | loss -0.0207 | reward 0.075 | solved   0.0%
step  158 | loss -0.0250 | reward 0.138 | solved   6.2%
step  159 | loss -0.0497 | reward 0.062 | solved   0.0%
step  160 | loss +0.1128 | reward 0.088 | solved   0.0%
step  161 | loss +0.1920 | reward 0.062 | solved   0.0%
step  162 | loss +0.0082 | reward 0.062 | solved   0.0%
step  163 | loss +0.1124 | reward 0.081 | solved   0.0%
step  164 | loss +0.0760 | reward 0.069 | solved   0.0%
step  165 | loss -0.0042 | reward 0.084 | solved   0.0%
step  166 | loss +0.0604 | reward 0.078 | solved   0.0%
step  167 | loss +0.0438 | reward 0.069 | solved   0.0%
step  168 | loss +0.0274 | reward 0.062 | solved   0.0%
step  169 | loss +0.0714 | reward 0.062 | solved   0.0%
step  170 | loss -0.0358 | reward 0.062 | solved   0.0%
step  171 | loss +0.0169 | reward 0.088 | solved   0.0%
step  172 | loss +0.0600 | reward 0.069 | solved   0.0%
step  173 | loss +0.0373 | reward 0.078 | solved   0.0%
step  174 | loss -0.0296 | reward 0.072 | solved   0.0%
step  175 | loss -0.0071 | reward 0.200 | solved  12.5%
step  176 | loss -0.0120 | reward 0.081 | solved   0.0%
step  177 | loss +0.0374 | reward 0.088 | solved   0.0%
step  178 | loss +0.0853 | reward 0.059 | solved   0.0%
step  179 | loss -0.0221 | reward 0.150 | solved   6.2%
step  180 | loss -0.0239 | reward 0.072 | solved   0.0%
step  181 | loss +0.0707 | reward 0.088 | solved   0.0%
step  182 | loss +0.0933 | reward 0.084 | solved   0.0%
step  183 | loss +0.0542 | reward 0.066 | solved   0.0%
step  184 | loss +0.0885 | reward 0.194 | solved  12.5%
step  185 | loss +0.1490 | reward 0.072 | solved   0.0%
step  186 | loss +0.0333 | reward 0.072 | solved   0.0%
step  187 | loss +0.0214 | reward 0.072 | solved   0.0%
step  188 | loss +0.0490 | reward 0.147 | solved   6.2%
step  189 | loss +0.0511 | reward 0.128 | solved   6.2%
step  190 | loss +0.0057 | reward 0.134 | solved   6.2%
step  191 | loss -0.1209 | reward 0.075 | solved   0.0%
step  192 | loss +0.0374 | reward 0.097 | solved   0.0%
step  193 | loss +0.0294 | reward 0.131 | solved   6.2%
