Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  105 | loss +0.2382 | reward 0.053 | solved   0.0%
step  106 | loss +0.1879 | reward 0.050 | solved   0.0%
step  107 | loss +0.0406 | reward 0.075 | solved   0.0%
step  108 | loss +0.0065 | reward 0.122 | solved   6.2%
step  109 | loss -0.0149 | reward 0.066 | solved   0.0%
step  110 | loss +0.0063 | reward 0.062 | solved   0.0%
step  111 | loss +0.0162 | reward 0.078 | solved   0.0%
step  112 | loss -0.0401 | reward 0.088 | solved   0.0%
step  113 | loss +0.1072 | reward 0.078 | solved   0.0%
step  114 | loss +0.0899 | reward 0.081 | solved   0.0%
step  115 | loss +0.0632 | reward 0.075 | solved   0.0%
step  116 | loss -0.0827 | reward 0.075 | solved   0.0%
step  117 | loss -0.0199 | reward 0.072 | solved   0.0%
step  118 | loss +0.0905 | reward 0.131 | solved   6.2%
step  119 | loss -0.0127 | reward 0.059 | solved   0.0%
step  120 | loss +0.0669 | reward 0.078 | solved   0.0%
step  121 | loss +0.0849 | reward 0.134 | solved   6.2%
step  122 | loss -0.0684 | reward 0.069 | solved   0.0%
step  123 | loss +0.0211 | reward 0.131 | solved   6.2%
step  124 | loss +0.0727 | reward 0.138 | solved   6.2%
step  125 | loss +0.0568 | reward 0.088 | solved   0.0%
step  126 | loss -0.0172 | reward 0.050 | solved   0.0%
step  127 | loss -0.0435 | reward 0.078 | solved   0.0%
step  128 | loss +0.0351 | reward 0.078 | solved   0.0%
step  129 | loss +0.0078 | reward 0.072 | solved   0.0%
step  130 | loss -0.0209 | reward 0.050 | solved   0.0%
step  131 | loss +0.0800 | reward 0.138 | solved   6.2%
step  132 | loss +0.0672 | reward 0.059 | solved   0.0%
step  133 | loss +0.0609 | reward 0.125 | solved   6.2%
step  134 | loss +0.0381 | reward 0.088 | solved   0.0%
step  135 | loss +0.0772 | reward 0.059 | solved   0.0%
step  136 | loss +0.0136 | reward 0.091 | solved   0.0%
step  137 | loss -0.0070 | reward 0.062 | solved   0.0%
step  138 | loss +0.0833 | reward 0.066 | solved   0.0%
step  139 | loss +0.0655 | reward 0.078 | solved   0.0%
step  140 | loss +0.0812 | reward 0.069 | solved   0.0%
step  141 | loss +0.0426 | reward 0.081 | solved   0.0%
step  142 | loss -0.0004 | reward 0.081 | solved   0.0%
step  143 | loss -0.0404 | reward 0.066 | solved   0.0%
step  144 | loss +0.1586 | reward 0.072 | solved   0.0%
step  145 | loss +0.0736 | reward 0.059 | solved   0.0%
step  146 | loss +0.0070 | reward 0.094 | solved   0.0%
step  147 | loss +0.0170 | reward 0.075 | solved   0.0%
step  148 | loss +0.0625 | reward 0.053 | solved   0.0%
step  149 | loss +0.0769 | reward 0.072 | solved   0.0%
step  150 | loss +0.1306 | reward 0.084 | solved   0.0%
step  151 | loss +0.3891 | reward 0.081 | solved   0.0%
step  152 | loss +0.0992 | reward 0.075 | solved   0.0%
step  153 | loss +0.0056 | reward 0.078 | solved   0.0%
step  154 | loss +0.0604 | reward 0.078 | solved   0.0%
step  155 | loss +0.0594 | reward 0.066 | solved   0.0%
step  156 | loss +0.0144 | reward 0.081 | solved   0.0%
step  157 | loss -0.0357 | reward 0.078 | solved   0.0%
step  158 | loss -0.0183 | reward 0.084 | solved   0.0%
step  159 | loss +0.0333 | reward 0.056 | solved   0.0%
step  160 | loss +0.1060 | reward 0.081 | solved   0.0%
step  161 | loss -0.0235 | reward 0.072 | solved   0.0%
step  162 | loss +0.0295 | reward 0.084 | solved   0.0%
step  163 | loss +0.0429 | reward 0.200 | solved  12.5%
step  164 | loss +0.1911 | reward 0.081 | solved   0.0%
step  165 | loss -0.0668 | reward 0.078 | solved   0.0%
step  166 | loss +0.0875 | reward 0.131 | solved   6.2%
step  167 | loss +0.0830 | reward 0.081 | solved   0.0%
step  168 | loss +0.0055 | reward 0.081 | solved   0.0%
step  169 | loss +0.1124 | reward 0.084 | solved   0.0%
step  170 | loss -0.1145 | reward 0.084 | solved   0.0%
step  171 | loss +0.0600 | reward 0.088 | solved   0.0%
step  172 | loss +0.0493 | reward 0.081 | solved   0.0%
step  173 | loss +0.0595 | reward 0.088 | solved   0.0%
step  174 | loss -0.0357 | reward 0.078 | solved   0.0%
step  175 | loss -0.0314 | reward 0.088 | solved   0.0%
step  176 | loss +0.0127 | reward 0.075 | solved   0.0%
step  177 | loss +0.0174 | reward 0.075 | solved   0.0%
step  178 | loss +0.1198 | reward 0.075 | solved   0.0%
step  179 | loss +0.0339 | reward 0.209 | solved  12.5%
step  180 | loss -0.0358 | reward 0.078 | solved   0.0%
step  181 | loss +0.0314 | reward 0.203 | solved  12.5%
step  182 | loss +0.0935 | reward 0.088 | solved   0.0%
step  183 | loss +0.0619 | reward 0.087 | solved   0.0%
step  184 | loss +0.0649 | reward 0.253 | solved  18.8%
step  185 | loss +0.0794 | reward 0.084 | solved   0.0%
step  186 | loss +0.0367 | reward 0.075 | solved   0.0%
step  187 | loss -0.0255 | reward 0.078 | solved   0.0%
step  188 | loss +0.0515 | reward 0.094 | solved   0.0%
step  189 | loss +0.0179 | reward 0.131 | solved   6.2%
step  190 | loss +0.0225 | reward 0.084 | solved   0.0%
step  191 | loss -0.0132 | reward 0.072 | solved   0.0%
step  192 | loss +0.0126 | reward 0.087 | solved   0.0%
step  193 | loss +0.0611 | reward 0.078 | solved   0.0%
step  194 | loss +0.0822 | reward 0.128 | solved   6.2%
step  195 | loss +0.1235 | reward 0.078 | solved   0.0%
step  196 | loss +0.1429 | reward 0.081 | solved   0.0%
step  197 | loss +0.0736 | reward 0.075 | solved   0.0%
step  198 | loss -0.0499 | reward 0.094 | solved   0.0%
step  199 | loss -0.0184 | reward 0.134 | solved   6.2%
step  200 | loss +0.0013 | reward 0.081 | solved   0.0%
step  201 | loss -0.0005 | reward 0.075 | solved   0.0%
step  202 | loss -0.0121 | reward 0.056 | solved   0.0%
step  203 | loss +0.0533 | reward 0.084 | solved   0.0%
step  204 | loss +0.1160 | reward 0.066 | solved   0.0%
step  205 | loss -0.0421 | reward 0.081 | solved   0.0%
step  206 | loss +0.0616 | reward 0.072 | solved   0.0%
step  207 | loss +0.0052 | reward 0.081 | solved   0.0%
step  208 | loss +0.0810 | reward 0.078 | solved   0.0%
step  209 | loss +0.0198 | reward 0.075 | solved   0.0%
step  210 | loss +0.0322 | reward 0.066 | solved   0.0%
step  211 | loss +0.0780 | reward 0.078 | solved   0.0%
step  212 | loss +0.0292 | reward 0.075 | solved   0.0%
step  213 | loss +0.0646 | reward 0.059 | solved   0.0%
step  214 | loss +0.0809 | reward 0.078 | solved   0.0%
step  215 | loss +0.0433 | reward 0.087 | solved   0.0%
step  216 | loss +0.0856 | reward 0.059 | solved   0.0%
step  217 | loss +0.0387 | reward 0.144 | solved   6.2%
step  218 | loss +0.0624 | reward 0.197 | solved  12.5%
step  219 | loss +0.0147 | reward 0.069 | solved   0.0%
step  220 | loss +0.0330 | reward 0.097 | solved   0.0%
step  221 | loss +0.0715 | reward 0.078 | solved   0.0%
step  222 | loss +0.0489 | reward 0.138 | solved   6.2%
step  223 | loss +0.0067 | reward 0.100 | solved   0.0%
step  224 | loss +0.0309 | reward 0.066 | solved   0.0%
step  225 | loss +0.1191 | reward 0.131 | solved   6.2%
step  226 | loss +0.0672 | reward 0.144 | solved   6.2%
step  227 | loss +0.0439 | reward 0.081 | solved   0.0%
step  228 | loss -0.0368 | reward 0.075 | solved   0.0%
step  229 | loss +0.0160 | reward 0.156 | solved   6.2%
step  230 | loss +0.0004 | reward 0.262 | solved  18.8%
step  231 | loss +0.1303 | reward 0.075 | solved   0.0%
step  232 | loss +0.0041 | reward 0.078 | solved   0.0%
step  233 | loss +0.0087 | reward 0.122 | solved   6.2%
step  234 | loss +0.0706 | reward 0.059 | solved   0.0%
step  235 | loss +0.0348 | reward 0.078 | solved   0.0%
step  236 | loss +0.0070 | reward 0.072 | solved   0.0%
step  237 | loss +0.0192 | reward 0.094 | solved   0.0%
step  238 | loss +0.0795 | reward 0.081 | solved   0.0%
step  239 | loss +0.0192 | reward 0.081 | solved   0.0%
step  240 | loss +0.0096 | reward 0.084 | solved   0.0%
step  241 | loss +0.0490 | reward 0.312 | solved  25.0%
step  242 | loss +0.0697 | reward 0.084 | solved   0.0%
step  243 | loss +0.0458 | reward 0.097 | solved   0.0%
step  244 | loss +0.0317 | reward 0.147 | solved   6.2%
step  245 | loss +0.0465 | reward 0.062 | solved   0.0%
step  246 | loss +0.0167 | reward 0.059 | solved   0.0%
step  247 | loss -0.0326 | reward 0.078 | solved   0.0%
step  248 | loss -0.0571 | reward 0.081 | solved   0.0%
step  249 | loss +0.0233 | reward 0.131 | solved   6.2%
step  250 | loss +0.0257 | reward 0.094 | solved   0.0%
step  251 | loss +0.0825 | reward 0.094 | solved   0.0%
step  252 | loss +0.0116 | reward 0.094 | solved   0.0%
step  253 | loss +0.0500 | reward 0.072 | solved   0.0%
step  254 | loss +0.0216 | reward 0.069 | solved   0.0%
step  255 | loss +0.0194 | reward 0.066 | solved   0.0%
step  256 | loss +0.1083 | reward 0.191 | solved  12.5%
step  257 | loss +0.0637 | reward 0.097 | solved   0.0%
step  258 | loss +0.0550 | reward 0.263 | solved  18.8%
step  259 | loss +0.1162 | reward 0.075 | solved   0.0%
step  260 | loss +0.1448 | reward 0.072 | solved   0.0%
step  261 | loss +0.1082 | reward 0.081 | solved   0.0%
step  262 | loss +0.0984 | reward 0.072 | solved   0.0%
step  263 | loss -0.0054 | reward 0.206 | solved  12.5%
step  264 | loss +0.0974 | reward 0.084 | solved   0.0%
step  265 | loss +0.0604 | reward 0.203 | solved  12.5%
step  266 | loss +0.0603 | reward 0.147 | solved   6.2%
step  267 | loss +0.0697 | reward 0.319 | solved  25.0%
step  268 | loss +0.0891 | reward 0.134 | solved   6.2%
step  269 | loss +0.0134 | reward 0.322 | solved  25.0%
step  270 | loss +0.0207 | reward 0.325 | solved  25.0%
step  271 | loss +0.1130 | reward 0.081 | solved   0.0%
step  272 | loss +0.0024 | reward 0.091 | solved   0.0%
step  273 | loss -0.0247 | reward 0.147 | solved   6.2%
step  274 | loss +0.0558 | reward 0.366 | solved  31.2%
step  275 | loss +0.0104 | reward 0.066 | solved   0.0%
