Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  105 | loss -0.0007 | reward 0.044 | solved   0.0%
step  106 | loss +0.0741 | reward 0.050 | solved   0.0%
step  107 | loss +0.0602 | reward 0.050 | solved   0.0%
step  108 | loss +0.3218 | reward 0.034 | solved   0.0%
step  109 | loss +0.0208 | reward 0.047 | solved   0.0%
step  110 | loss +0.0027 | reward 0.056 | solved   0.0%
step  111 | loss +0.0276 | reward 0.050 | solved   0.0%
step  112 | loss +0.0741 | reward 0.072 | solved   0.0%
step  113 | loss +0.0240 | reward 0.044 | solved   0.0%
step  114 | loss +0.0095 | reward 0.050 | solved   0.0%
step  115 | loss -0.0217 | reward 0.050 | solved   0.0%
step  116 | loss +0.0949 | reward 0.056 | solved   0.0%
step  117 | loss +0.0536 | reward 0.053 | solved   0.0%
step  118 | loss +0.0618 | reward 0.041 | solved   0.0%
step  119 | loss +0.0334 | reward 0.059 | solved   0.0%
step  120 | loss +0.2794 | reward 0.044 | solved   0.0%
step  121 | loss +0.0044 | reward 0.047 | solved   0.0%
step  122 | loss -0.0067 | reward 0.056 | solved   0.0%
step  123 | loss +0.0358 | reward 0.059 | solved   0.0%
step  124 | loss +0.0375 | reward 0.062 | solved   0.0%
step  125 | loss +0.1124 | reward 0.050 | solved   0.0%
step  126 | loss +0.0290 | reward 0.050 | solved   0.0%
step  127 | loss +0.2999 | reward 0.050 | solved   0.0%
step  128 | loss +0.2296 | reward 0.053 | solved   0.0%
step  129 | loss +0.0355 | reward 0.062 | solved   0.0%
step  130 | loss +0.0061 | reward 0.056 | solved   0.0%
step  131 | loss +0.0119 | reward 0.047 | solved   0.0%
step  132 | loss +0.0159 | reward 0.038 | solved   0.0%
step  133 | loss +0.4376 | reward 0.056 | solved   0.0%
step  134 | loss +0.6202 | reward 0.056 | solved   0.0%
step  135 | loss +0.0009 | reward 0.050 | solved   0.0%
step  136 | loss +0.0625 | reward 0.069 | solved   0.0%
step  137 | loss +0.0420 | reward 0.062 | solved   0.0%
step  138 | loss +0.0339 | reward 0.056 | solved   0.0%
step  139 | loss -0.0124 | reward 0.047 | solved   0.0%
step  140 | loss +0.0013 | reward 0.047 | solved   0.0%
step  141 | loss +0.0194 | reward 0.053 | solved   0.0%
step  142 | loss +0.0221 | reward 0.056 | solved   0.0%
step  143 | loss +0.4879 | reward 0.066 | solved   0.0%
step  144 | loss +0.0817 | reward 0.056 | solved   0.0%
step  145 | loss +0.0607 | reward 0.056 | solved   0.0%
step  146 | loss +0.0120 | reward 0.069 | solved   0.0%
step  147 | loss +0.0376 | reward 0.050 | solved   0.0%
step  148 | loss +0.0724 | reward 0.066 | solved   0.0%
step  149 | loss +0.1724 | reward 0.047 | solved   0.0%
step  150 | loss +0.0050 | reward 0.050 | solved   0.0%
step  151 | loss +0.0455 | reward 0.059 | solved   0.0%
step  152 | loss +0.0230 | reward 0.056 | solved   0.0%
step  153 | loss +0.0763 | reward 0.113 | solved   6.2%
step  154 | loss +0.0345 | reward 0.056 | solved   0.0%
step  155 | loss -0.0233 | reward 0.041 | solved   0.0%
step  156 | loss +0.0412 | reward 0.069 | solved   0.0%
step  157 | loss +0.0090 | reward 0.066 | solved   0.0%
step  158 | loss +0.0220 | reward 0.056 | solved   0.0%
